dataset,seed,b,contraction,num_sets,universe,elements,baseline_bits,ceb_bits,baseline_bpe,ceb_bpe,H_bpe,L_bpe,saving_pct,baseline_total_bpe,ceb_total_bpe,total_saving_pct,ceb_build_ms,base_build_ms,max_depth,mean_depth,ceb_retrieve_us,ceb_rank_us,base_retrieve_us,base_rank_us,all_ok,num_ret,num_rank
independent,42,16,0,64,512,13555,36735,37063,2.7101,2.7343,2.3250,2.3250,-0.8929,13.4277,13.8851,-3.4064,9.5630,1.9960,0,0.0000,0.3930,0.7395,0.6215,1.0160,1,2000,2000
independent,42,16,1,64,512,13555,36735,37063,2.7101,2.7343,2.3250,2.3250,-0.8929,13.4277,13.8851,-3.4064,9.6090,1.5680,0,0.0000,0.3000,0.6015,0.6105,1.0050,1,2000,2000
independent,42,32,0,64,512,13555,34878,35080,2.5731,2.5880,2.3250,2.3250,-0.5792,12.9319,13.3712,-3.3966,9.3750,1.5750,0,0.0000,0.3040,0.8115,0.6560,1.1080,1,2000,2000
independent,42,32,1,64,512,13555,34878,35080,2.5731,2.5880,2.3250,2.3250,-0.5792,12.9319,13.3712,-3.3966,9.6840,1.5770,0,0.0000,0.3150,0.9000,0.6125,1.0980,1,2000,2000
independent,42,64,0,64,512,13555,33665,33789,2.4836,2.4927,2.3250,2.3250,-0.3683,12.6630,13.0921,-3.3883,9.4830,1.6710,0,0.0000,0.3840,1.3890,0.6515,1.5635,1,2000,2000
independent,42,64,1,64,512,13555,33665,33789,2.4836,2.4927,2.3250,2.3250,-0.3683,12.6630,13.0921,-3.3883,9.8260,1.7260,0,0.0000,0.3205,1.3060,0.6515,1.5965,1,2000,2000
independent,101,4,0,64,512,13858,41426,42198,2.9893,3.0450,2.2860,2.2860,-1.8636,15.7580,16.2847,-3.3429,9.8540,1.2830,0,0.0000,0.3180,0.4860,0.6350,0.7720,1,2000,2000
independent,101,4,1,64,512,13858,41426,42198,2.9893,3.0450,2.2860,2.2860,-1.8636,15.7580,16.2847,-3.3429,9.9010,1.2510,0,0.0000,0.3140,0.4785,0.6155,0.7385,1,2000,2000
independent,101,8,0,64,512,13858,39535,40053,2.8529,2.8902,2.2860,2.2860,-1.3102,14.2568,14.7329,-3.3396,9.7640,1.3740,0,0.0000,0.3030,0.5150,0.6270,0.8145,1,2000,2000
independent,101,8,1,64,512,13858,39535,40053,2.8529,2.8902,2.2860,2.2860,-1.3102,14.2568,14.7329,-3.3396,9.6040,1.3660,0,0.0000,0.3130,0.5160,0.6445,0.7810,1,2000,2000
independent,101,16,0,64,512,13858,37002,37330,2.6701,2.6938,2.2860,2.2860,-0.8864,13.3721,13.8195,-3.3457,9.7180,1.5770,0,0.0000,0.3045,0.6075,0.5940,0.8855,1,2000,2000
independent,101,16,1,64,512,13858,37002,37330,2.6701,2.6938,2.2860,2.2860,-0.8864,13.3721,13.8195,-3.3457,9.5630,1.5720,0,0.0000,0.3005,0.6060,0.5955,0.8970,1,2000,2000
independent,101,32,0,64,512,13858,35044,35246,2.5288,2.5434,2.2860,2.2860,-0.5764,12.8798,13.3094,-3.3358,9.7010,1.5940,0,0.0000,0.2945,0.8120,0.6140,1.0955,1,2000,2000
independent,101,32,1,64,512,13858,35044,35246,2.5288,2.5434,2.2860,2.2860,-0.5764,12.8798,13.3094,-3.3358,9.7370,1.6080,0,0.0000,0.2945,0.8300,0.6255,1.1035,1,2000,2000
